raw_data,is_credit,date,amount,comments,bank,source
11-may-23 interest amount amortization - <2/3> 0.00 22.81,0,11-may-23,22.81,   may    interest amount amortization                   ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-may-23 74332743132313140941599 swiggy bengaluru in 0.00 188.00,0,11-may-23,188.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
14-may-23 74766513134319638056410 amazon http://www.am in 0.00 899.00,0,14-may-23,899.0,   may                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
14-may-23 74766513134319669309944 amazon.in - grocery http://www.am 0.00 290.00,0,14-may-23,290.0,   may                            amazon in   grocery http   www am            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"14-may-23 74766513134319669194445 amazon http://www.am in 0.00 1,689.00",0,14-may-23,1689.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"20-may-23 74766513140319008541910 amazon http://www.am in 0.00 1,099.00",0,20-may-23,1099.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
20-may-23 74332743141314090206164 swiggy bengaluru in 0.00 343.00,0,20-may-23,343.0,   may                            swiggy bengaluru in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"20-may-23 314024672776 upi payment received 0.00 -25,100.00",0,20-may-23,-25100.0,   may                 upi payment received                ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
22-may-23 74766513142320120051976 amazon http://www.am in 0.00 899.00,0,22-may-23,899.0,   may                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"22-may-23 74766513142320119760173 amazon http://www.am in 0.00 -1,099.00",0,22-may-23,-1099.0,   may                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
23-may-23 74766513143320191126490 amazon.in - grocery http://www.am 0.00 824.00,0,23-may-23,824.0,   may                            amazon in   grocery http   www am            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"24-may-23 74766513144320230230070 amazon http://www.am in 0.00 1,650.00",0,24-may-23,1650.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"24-may-23 74766513144320232663617 amazon http://www.am in 0.00 1,699.00",0,24-may-23,1699.0,   may                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
24-may-23 74056633145314498786786 innovative retail concept bangalore in 0.00 468.00,0,24-may-23,468.0,   may                            innovative retail concept bangalore in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
24-may-23 600324052023s81914631 neft payment received 0.00 -1.00,0,24-may-23,-1.0,   may                s         neft payment received           ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
27-may-23 74766513147320413409589 amazon.in - grocery http://www.am 0.00 599.00,0,27-may-23,599.0,   may                            amazon in   grocery http   www am            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
29-may-23 74766513149321542317568 amazon.in - grocery http://www.am 0.00 189.05,0,29-may-23,189.05,   may                            amazon in   grocery http   www am            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
